periodo,Precios e Inflación 
1981/01,0.062773
1981/02,0.062773
1981/03,0.062773
1981/04,0.059257076
1981/05,0.059526378
1981/06,0.059526378
1981/07,0.059526378
1981/08,0.059526378
1981/09,0.054115345
1981/10,0.054115345
1981/11,0.054115345
1981/12,0.054115345
1982/01,0.064939079
1982/02,0.054115345
1982/03,0.059526378
1982/04,0.054115345
1982/05,0.054115345
1982/06,0.059526378
1982/07,0.059526378
1982/08,0.071432323
1982/09,0.083361535
1982/10,0.089279595
1982/11,0.114100542
1982/12,0.114100542
1983/01,0.114100542
1983/02,0.114100542
1983/03,0.148325548
1983/04,0.165737279
1983/05,0.165737279
1983/06,0.165737279
1983/07,0.189768596
1983/08,0.242904804
1983/09,0.242904804
1983/10,0.242904804
1983/11,0.242904804
1983/12,0.242904804
1984/01,0.242904804
1984/02,0.242904804
1984/03,0.242904804
1984/04,0.242904804
1984/05,0.242904804
1984/06,0.242904804
1984/07,0.267195451
1984/08,0.267195451
1984/09,0.267195451
1984/10,0.293914826
1984/11,0.333886672
1984/12,0.400664337
1985/01,0.400664337
1985/02,0.400664337
1985/03,0.400664337
1985/04,0.400664337
1985/05,0.439028664
1985/06,0.450746758
1985/07,0.4757888
1985/08,0.500830837
1985/09,0.500830837
1985/10,0.500830837
1985/11,0.450746758
1985/12,0.450746758
1986/01,0.450746758
1986/02,0.626037716
1986/03,0.626037716
1986/04,0.626037716
1986/05,1.001661678
1986/06,1.001661678
1986/07,0.924610523
1986/08,0.853485744
1986/09,0.853485744
1986/10,0.99516511
1986/11,1.065821104
1986/12,1.278985986
1987/01,1.420952946
1987/02,1.420952946
1987/03,1.420952946
1987/04,1.420952946
1987/05,2.046172773
1987/06,2.694810502
1987/07,3.551758972
1987/08,3.551760634
1987/09,3.616274143
1987/10,4.032293854
1987/11,4.701764486
1987/12,5.852057594
1988/01,6.896119846
1988/02,7.642126295
1988/03,8.058752773
1988/04,8.588651927
1988/05,9.141664768
1988/06,8.962161342
1988/07,9.930804899
1988/08,10.27950999
1988/09,9.735999303
1988/10,9.761418701
1988/11,10.03573743
1988/12,10.35177517
1989/01,11.34419403
1989/02,12.18260202
1989/03,12.61849544
1989/04,12.72869771
1989/05,12.30641084
1989/06,11.86087563
1989/07,11.1496993
1989/08,11.31503927
1989/09,11.1885374
1989/10,11.55748193
1989/11,12.56940047
1989/12,13.08853906
1990/01,13.91909398
1990/02,14.89223926
1990/03,14.93445531
1990/04,13.64270559
1990/05,12.43221284
1990/06,12.31736091
1990/07,12.0908355
1990/08,11.79552262
1990/09,11.96285745
1990/10,12.02189176
1990/11,12.33674921
1990/12,14.31273146
1991/01,15.07914856
1991/02,15.54692471
1991/03,14.87959356
1991/04,14.98392763
1991/05,14.24896103
1991/06,13.97795209
1991/07,14.4244548
1991/08,13.96727464
1991/09,13.82783284
1991/10,14.19761022
1991/11,15.02438655
1991/12,15.54994358
1992/01,16.83725974
1992/02,16.79745912
1992/03,17.19629983
1992/04,16.10305118
1992/05,15.50574764
1992/06,15.35700317
1992/07,14.70151479
1992/08,14.64839687
1992/09,14.55389741
1992/10,15.47566361
1992/11,15.87937343
1992/12,16.72626618
1993/01,17.94420305
1993/02,17.60130297
1993/03,17.60130297
1993/04,16.64761416
1993/05,16.74635767
1993/06,17.25289212
1993/07,17.52717428
1993/08,16.4290665
1993/09,15.43175526
1993/10,15.51884883
1993/11,15.06652115
1993/12,15.88190356
1994/01,16.74528543
1994/02,16.95890082
1994/03,17.02140618
1994/04,17.03404024
1994/05,16.68710225
1994/06,16.04243262
1994/07,16.31655851
1994/08,16.26452613
1994/09,16.1584665
1994/10,16.20783909
1994/11,16.67463443
1994/12,17.37399625
1995/01,17.88767061
1995/02,18.04792371
1995/03,17.89265774
